Longitude,Latitude,Site Name,Trinomial,Assay No.,Provenience (if known),Feature Type (if any),Material,Taxa dated,Status ,Human,Age,Error,Corrected/Raw,Normalized 14C age,Normalized age error,Delta 13C,Delta 13C source,Raw/Measured Age,� Raw/Measured Age,AMS or Radiometric,Comments,Reference,pdf,Easting,Northing,UTM,Datum,Zone,Region,northing, easting, zone,,
-96.16,30.33,Washington on the Brazos site,41WT5,GX-15420,Unit 4, ,Wood, ,1A,No,400,70,Corrected,400,70,-25.5,Measured,0,0, ,"Log from channel. Dates were mentioned in 1996 report by Kuehn but were not in reference to a specific site. Because the originial report was from Washington county, included dates","1995, Water, M.R., Nordt, L.C. Late Quaternary Floodplain History of the Brazos River in East-Central Texas. Quaternary Research. 43:311-319.","Waters, 1995",773384,3358347,14,NAD 83,Riverine,TCP,3358347,773384,14,,
-98.35,29.71,Hitzfelder Cave,41BX26,D-AMS-1206-092,,,bone collagen,,1B,Yes,400,33,Corrected,400,33,-9.5,,308,,,,,,562545,3287282,14,NAD 83,Inland,CTx,3287282,562545,14,,
-101.73,30.73,,41CX136,Tx-2786,Area B,Hearth,Charcoal,,1A,No,400,70,Corrected,400,70,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,238420,3403140,14,NAD 83,Inland,CTx,3403140,238420,14,,
-101.69,30.7,Sotol ,41CX8,Tx-649,Lot 31,Hearth,Charcoal,,1A,No,400,60,Corrected,400,60,,,,,,,"Valastro, S. Jr., 1970. University of Texas at Austin Radiocarbon Dates XIII. Vol. 12, No. 1.",Valastro 1970 No. 1,241999,3399405,14,NAD 83,Inland,CTx,3399405,241999,14,,
-100.07,30.02,Varga ,41ED28,Beta-175397,"Fea. 36, Blk. A, Unit N101/E47, 20-30 cm",,Charcoal,,1A,No,400,40,Corrected,400,40,-26.5,measured,420,40,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,397193,3321947,14,NAD 83,Inland,CTx,3321947,397193,14,,
-94.85,30.22,Luce Bayou,41LB42,D-AMS 016412,"XU19, Sub-unit V, Level 7, feature 18",Hearth,Walnut nutshell, ,1A,No,404,30,Corrected,404,30,-24.7,Measured,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Excavations at the Luce Bayou Site (41LB42) A Mossy Grove Ridgeline Site in the Lower Trinity River Valley, Southeastern Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 658.","Costa, 2018, 41LB42 (Full Report).pdf",322410,3344284,15,NAD 83,Riverine,TCP,3344284,322410,15,,
-94.85,30.22,Luce Bayou,41LB42,PSUAMS-2464, , ,Bone Collagen,what type,1A,No,410,15,Corrected,410,15,-13.4,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,322410,3344284,15,NAD 83,Riverine,TCP,3344284,322410,15,,
-99.45,27.34,The Boiler Site,41WB557,Beta-149752,"Block North, Unit 144, Depth 20-30cmbs, Feature No. 22", ,BR Organics, ,1A,No,410,40,Corrected,410,40,-13.8,Measured,230,40,AMS,Catalog No. 1677-5-1a.�Beta sheets can be found in primary source.�,"Quigg et al, 2002. The Boiler Site (41WB557): Utilization of an Upland Setting Over the Last 4200 Years, Webb County, Texas.",Quigg 2002.pdf,455935,3024172,14,NAD 83,Inland,TCP,3024172,455935,14,,
-99.7,28.74,Tortuga Flat,41ZV156,TX-1515,Northern portion of the Rio Grande Plain, ,Charcoal, ,1A,No,410,60,Corrected,410,60,0, ,0,0,Radiometic,Found in back of unrelated survey,"Day, Laurens-Day, and Prewitt 1981. Cultural Resources Surveys and Assesments in Portions of Hildalgo and Willacy Counties, Texas.",Day 1981.pdf,431573,3179031,14,NAD 83,Inland,TCP,3179031,431573,14,,
-97.83,31.31,,41CV1167,BETA-75265,"Unit #1, Feature #1, Depth 30-40cm",BRMI,CHARCOAL/SOIL,,1A,No,410,80,Corrected,410,80,-27.6,measured,,,,,Fort Hood Database,,611567,3464239,14,NAD 83,Inland,CTx,3464239,611567,14,,
-97.9,31.24,,41CV164,BETA-73192,"Unit #1, Depth 40-50cm",,CHARCOAL/SOIL,,1A,No,410,80,Corrected,410,80,-26.4,measured,,,,,Fort Hood Database,,605120,3456347,14,NAD 83,Inland,CTx,3456347,605120,14,,
-97.9,31.23,,41CV411,Beta-464306,,,Charcoal,,1A,No,410,30,Corrected,410,30,-27,measured,,,AMS,,CARD March 2020 Database,,605052,3455205,14,NAD 83,Inland,CTx,3455205,605052,14,,
-101.72,30.74,,41CX121,Tx-2793,Area C,Hearth,Charcoal,,1A,No,410,60,Corrected,410,60,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,239216,3403592,14,NAD 83,Inland,CTx,3403592,239216,14,,
-99.82,29.29, ,41UV45,Tx-4432,"Unit 47-22, Level 2 (20-40cm)",Midden,Wood Charcoal, ,1A,No,410,50,Raw,0,0,0, ,410,50,Radiometric,Only MASCA Correction given at: A.D. 1440,"Lukowski, Paul D., 1987, Archaeological Investigations Along the Leona River Watershed, Uvalde County, Texas, Archaeological Survey Report, No. 132, Center for Archaeological Research, The University of Texas at San Antonio",Lukowski 1987,420671,3240721,14,NAD 83,Inland,CTx,3240721,420671,14,,
-98.57,29.68,,41BX1031,Beta-157705,"Unit 4, Level 4",,charcoal,,1A,No,412,50,Corrected,412,50,-26.1,,430,,,,,,541450,3283527,14,NAD 83,Inland,CTx,3283527,541450,14,,
-97.87,30.06,Onion Creek,41HY209,GX-15752A,"Level 2, midden",Midden,Bone apatite,,1A,No,415,120,Corrected,415,120,,,,,Radiometric,,CARD March 2020 Database,,608671,3325720,14,NAD 83,Inland,CTx,3325720,608671,14,,
-97.87,30.06,Mustang Branch Site (Bluff),41HY209,GX-15752-A,,burned rock midden,bone ,,1A,No,415,120,Corrected,415,120,,,,,,Bone apatite sampled,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,608671,3325720,14,NAD 83,Inland,CTx,3325720,608671,14,,
-97.6,29.66,Troll,41CW92,UGA-13310,"BHT G, 131 cm, elevation 97.47 m", ,charcoal, ,1A,No,420,40,Corrected,420,40,-27.41,measured,460,40,AMS,"Prior to processing, it was believed this sample would be slightly younger or the same age as #167. The 1,150 year discrepancy may be the result of bioturbation or natural stratigraphic conditions. Sample # G1-8-114","2005 Miller K. Significance Testing at the Troll Site 41CW92 Caldwell County Texas. Archaeological studies Rpt:77, SWCA Rpt: 2005-137",Miller 2005,635460,3281439,14,NAD 83,Inland,TCP,3281439,635460,14,,
-94.94,29.22,Mitchell Site,41GV66,Beta-58744,Feature 83, ,Bone,Human,1B,Yes,420,60,Corrected,420,60,0, ,0,60, , ,"Ricklis, Robert A.; 1994; Aboriginal Life and Culture on the Upper Texas Coast: Archaeology at the Mitchell Ridge Site, 41GV66, Galveston Island; Coastal Archaeological Research, Inc., Corpus Christi, Texas","Ricklis, 1994.pdf",311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-95.07,29.73,Redtail Site,41HR581,Beta-29090,Feature 10, ,Charcoal, ,1A,No,420,130,Raw,0,0,0, ,420,130, ,Corrected age not provided,"Gadus, Eloise F., Margaret Ann Howard; 1990; Hunter-Fisher-Gatherers on the Upper Texas Coast: Archeological Investigations at the Peggy Lake Disposal Area, Harris County, Texas; Reports of Investigations, Number 74; Prewitt and Associates Inc.","Gadus, 1990.pdf",300065,3290819,15,NAD 83,Coastal,TCP,3290819,300065,15,,
-97.71,31.38,,41CV1480,BETA-87648,"Unit #1, Feature #1, Depth 160-170cm",HEARTH,CHARCOAL,MAPLE,1A,No,420,70,Corrected,420,70,-28.1,measured,,,Radiometric,,Fort Hood Database,,622583,3472517,14,NAD 83,Inland,CTx,3472517,622583,14,,
-101.93,31.02,,41CX198,B-20615,"Unit 2, Level 1, basin",Midden,,,1A,No,420,80,Corrected,420,80,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,220436,3435893,14,NAD 83,Inland,CTx,3435893,220436,14,,
-99.9,30.34,Little Paint Site,41KM226,Beta-234353,"Feature 5, 99.62m",Hearth ,Charcoal,,1A,No,420,40,Corrected,420,40,-24.9,measured,420,40,AMS,Sample: 41KM226-142-C8,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,413235,3357345,14,NAD 83,Inland,CTx,3357345,413235,14,,
-99.31,30.68,Honey Creek,41MS32,CAMS-7456,Level 3,,Seeds,"Acorn frag, charred",1A,No,420,90,Corrected,420,90,-25,estimated,420,90,AMS,,,,470601,3394209,14,NAD 83,Inland,CTx,3394209,470601,14,,
-94.94,29.22, ,41GV66,D-AMS 029968,Burial F 82a,Burial,Bone Collagen,Homo sp,1B,Yes,424,26,Corrected,424,26,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-96.44,29.59,Cotton Field,41CD155,PSUAMS-2552, , ,Bone, ,,,425,29,Corrected,425,29,-11.4,measured,0,0, , ,"Costa Database, 2018", ,747765,3276280,14,NAD 83,Riverine,TCP,3276280,747765,14,,
-98.46,29.33,,41BX256,D-AMS 008852,Fea 22,,assume C3,,1A,No,429,24,Corrected,429,24,-23,,446,,,,,,552750,3244313,14,NAD 83,Inland,CTx,3244313,552750,14,,
-98.25,26.14,Garza,41HG251,Beta-370064,"Trench 21.0, Flot 4, F.2, 30cmbs",Hearth,Charcoal, ,1A,No,430,30,Corrected,430,30,-23,Measured,0,0,AMS,No raw age given,"Burden et al; 2014; Results of Archeological Survey of the Proposed Hidalgo Loop Sections A and C, The International Bridge Trade Corridor, and State Highway 365 Projects Hidalgo County, Texas; Atkins. �",Burden2014.pdf,575100,2891278,14,NAD 83,Riverine,TCP,2891278,575100,14,,
-98.41,28.54,Choke Canyon,41MC296,TX-4677,"Various lots, N1023-1024 E985-987", ,Carbon sample, ,1A,No,430,80,Raw,0,0,0, ,430,80,Radiometric,MASCA corrected given as 520 BP,"Hall, Grant D., Hester, Thomas R., Black, Stephen L., 1986, The Prehistoric Sites at Choke Canyon Reservoir, Southern Texas: Results of Phase II Archaeological Investigations, Choke Canyon Series: Volume 10, Center for Archaeological Research, The Univer",Hall 1986,557544,3157404,14,NAD 83,Riverine,TCP,3157404,557544,14,,
-99.45,27.47,Cuatro Vientos,41WB441,Beta-222164,"F3, Lot 27, 10 cmbs",Hearth,Burnt rock,"Organic sediment, ash",1A,No,430,40,Corrected,430,40,-27.2,Measured,430,40,AMS,"""...each sample contained relatively abdundant wood charcoal, [that] was so intricately embedded in the matrix that it could not be seperated out."" pp. 4-3","Carpenter et al 2010. Cuatro Vientos, A Reconsideration  of Seven Prehistoric Sites in the Lower Rio Grande Plains of South Texas.",Carpenter 2010.pdf,455773,3038706,14,NAD 83,Inland,TCP,3038706,455773,14,,
-96.16,30.33,Washington on the Brazos site,41WT5,GX-15422,Unit 4, ,Wood, ,1A,No,430,70,Corrected,430,70,-26.5,Measured,0,0, ,"Twigs and debris from channel. dates were mentioned in 1996 report by Kuehn but were not in reference to a specific site. Because the originial report was from Washington county, included dates","1995, Water, M.R., Nordt, L.C. Late Quaternary Floodplain History of the Brazos River in East-Central Texas. Quaternary Research. 43:311-319.","Waters, 1995",773384,3358347,14,NAD 83,Riverine,TCP,3358347,773384,14,,
-99.97,28.89, ,41ZV83,TX-1526,Northern portion of the Rio Grande Plain, ,Charcoal, ,1A,No,430,60,Corrected,430,60,0, ,0,0,Radiometic,Found in back of unrelated survey,"Day, Laurens-Day, and Prewitt 1981. Cultural Resources Surveys and Assesments in Portions of Hildalgo and Willacy Counties, Texas.",Day 1981.pdf,405410,3196410,14,NAD 83,Inland,TCP,3196410,405410,14,,
-98.46,29.33,,41BX254,Beta-260892,"Unit 62 Feature 31, 50cmbs",,charred material,,1A,No,430,40,Corrected,430,40,-25,,430,,,,,,552589,3244558,14,NAD 83,Inland,CTx,3244558,552589,14,,
-98.43,31.12,,41LM50,Beta-345276,"Feature 1, 10-20 cmbs ",,,,1A,No,430,30,Corrected,430,30,-23,measured,400,30,AMS ,2 sigma calibration given: AD 1430-1480,"Quigg, J. Michael, Matchen, Paul M., Ricklis, Robert A., Gray, Shannon, Frederick, Charles D., 2014, Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas, Index of Texas Archaeology: Open Access Gray Literature from the Lone Star State",Quigg 2014,554470,3443243,14,NAD 83,Inland,CTx,3443243,554470,14,,
-99.31,30.68,Honey Creek,41MS32,CAMS-7464,Level 3,,Seeds,"Acorn frag, charred",1A,No,430,60,Corrected,430,60,-25,estimated,430,60,AMS,,,,470601,3394209,14,NAD 83,Inland,CTx,3394209,470601,14,,
-98.57,29.68,,41BX1031,Beta-157704,"Unit 2, Level 3",,charcoal,,1A,No,440,50,Corrected,440,50,-24.4,,430,,,,,,541450,3283527,14,NAD 83,Inland,CTx,3283527,541450,14,,
-98.48,29.55,,41BX947,Beta-80057,"A003, Trench 2",,burned nut,,1A,No,440,50,Corrected,440,50,-25.7,,450,,,,,,549957,3269474,14,NAD 83,Inland,CTx,3269474,549957,14,,
-97.89,31.15,,41CV1286,BETA-102149,"Unit #3, Depth 35cm",LIVING SURFACE,CHARCOAL,,1A,No,440,40,Corrected,440,40,-25,estimated,,,AMS,,Fort Hood Database,,606192,3447029,14,NAD 83,Inland,CTx,3447029,606192,14,,
-99.9,30.34,Little Paint Site,41KM226,Beta-234357,99.61m,,Charcoal,,1A,No,440,40,Corrected,440,40,-24.9,measured,440,40,AMS,Sample: 41KM226-186-C16,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,413235,3357345,14,NAD 83,Inland,CTx,3357345,413235,14,,
-99.18,31.43,Corn Creek #1,41MK8,CAMS-13886,N59/E59 70-80 cm,midden,charred root ,,1A,No,440,60,Corrected,440,60,-25,estimated,440,60,AMS,,Robert Kelly Database ,,482490,3477296,14,NAD 83,Inland,CTx,3477296,482490,14,,
-95.23,29.25,Three Oaks,41BO41,PSUAMS-2463, , ,Bone Collagen, ,1A,No,450,15,Corrected,450,15,-10.6,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,283163,3238038,15,NAD 83,Coastal,TCP,3238038,283163,15,,
-96.44,29.59,Cotton Field,41CD155,PSUAMS-2472, , ,Bone Collagen, ,,,450,15,Corrected,450,15,-9.1,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,747765,3276280,14,NAD 83,Riverine,TCP,3276280,747765,14,,
-94.94,29.22,Mitchell Site,41GV66,Beta-53668,Feature 925-1, ,Bone,Human,1B,Yes,450,60,Corrected,450,60,0, ,0,60, , ,"Ricklis, Robert A.; 1994; Aboriginal Life and Culture on the Upper Texas Coast: Archaeology at the Mitchell Ridge Site, 41GV66, Galveston Island; Coastal Archaeological Research, Inc., Corpus Christi, Texas","Ricklis, 1994.pdf",311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-95.05,29.76, ,41HR618,I-15275, , ,Unknown, ,1A,No,450,80,Raw,0,0,0, ,450,80,Radiometric, ,"Kelly Pertulla database, CARD.  Patterson 2000; Patterson, Leland; 1999; Additional Data for the Bowser Site, 41FB3, Fort Bend Co., Texas; Journal Houston Archeological Society, Number 123", ,301378,3293990,15,NAD 83,Coastal,TCP,3293990,301378,15,,
-98.41,28.54,Choke Canyon,41MC296,TX-4682,"Various lots, N1022-1023 E985-987-989, level 2", ,Carbon sample, ,1A,No,450,60,Raw,0,0,0, ,450,60,Radiometric,MASCA corrected given as 520 BP,"Hall, Grant D., Hester, Thomas R., Black, Stephen L., 1986, The Prehistoric Sites at Choke Canyon Reservoir, Southern Texas: Results of Phase II Archaeological Investigations, Choke Canyon Series: Volume 10, Center for Archaeological Research, The Univer",Hall 1986,557544,3157404,14,NAD 83,Riverine,TCP,3157404,557544,14,,
-98.48,29.55,,41BX947,Beta-80058,"A006, Trench 3",,wood charcoal,,1A,No,450,60,Corrected,450,60,-25.5,,460,,,,,,549957,3269474,14,NAD 83,Inland,CTx,3269474,549957,14,,
-97.57,31.24,,41CV111,BETA-63001,"Unit #1, Feature #1, Depth 20-30cm",HEARTH,CHARCOAL,,1A,No,450,60,Corrected,450,60,-25.7,measured,460,60,,,Fort Hood Database,,635719,3457367,14,NAD 83,Inland,CTx,3457367,635719,14,,
-97.72,30.18,Smith Rockshelter,41TV42,TX-514,,Rockshelter,,,1A,No,450,70,Corrected,450,70,,,,,Radiometric,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,622957,3339947,14,NAD 83,Inland,CTx,3339947,622957,14,,
-99.99,30.5,Buckhollow,41KM16,Beta-30200,"Feature 20, Hearth",Hearth,Charcoal,,1A,No,452,70,Corrected,452,70,-26.1,measured,470,70,Radiometric,,CARD March 2020 Database,,404845,3374082,14,NAD 83,Inland,CTx,3374082,404845,14,,
-94.94,29.22, ,41GV66,D-AMS 029967,Burial F 87,Burial,Bone Collagen,Homo sp,1B,Yes,454,24,Corrected,454,24,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-94.94,29.22, ,41GV66,D-AMS 029965,Burial F 86,Burial,Bone Collagen,Homo sp,1B,Yes,456,25,Corrected,456,25,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-94.94,29.22, ,41GV66,D-AMS 029966,Burial F 84,Burial,Bone Collagen,Homo sp,1B,Yes,458,29,Corrected,458,29,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-95.63,29.79,Park Row- South,41HR184,UCIAMS-156932,"XU 5, SU H, 40-50 cmbd, Lower surface", ,Charcoal, ,1A,No,460,15,Corrected,460,15,-55.8,Measured,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Testing and Data Recovery Excavations at Site 41HR184 for Park Row Boulevard, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 630.","Costa, 2018, 41HR184 (Full Report).pdf",246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.63,29.79,Park Row- South,41HR184,Beta-318163,"Trench 1, 54 cmbs, lower surface", ,Charcoal, ,1A,No,460,30,Corrected,460,30,-25,Measured,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Testing and Data Recovery Excavations at Site 41HR184 for Park Row Boulevard, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 630.","Costa, 2018, 41HR184 (Full Report).pdf",246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.63,29.79,Park Row- South,41HR184,PSU 6480,"41HR184, TX. U5 SubH L5 40-50 cmbd Lot 838", ,Charcoal, ,1A,No,460,15,Corrected,460,15,0, ,0,0, , C13 value recorded as -55.8,"Costa Database, 2018", ,246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.07,29.58,Fullen,41HR82,PSUAMS-2462, , ,Bone Collagen,what taxa?,1A,No,460,20,Corrected,460,20,-13.2,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,299680,3273986,15,NAD 83,Coastal,TCP,3273986,299680,15,,
-98.39,28.48,Choke Canyon,41MC55,TX-4692,"Lots 104, 105, N1017 E999, Level 2-3", ,Charcoal, ,1A,No,460,60,Raw,0,0,0, ,460,60,Radiometric,MASCA corrected given as 520 BP,"Hall, Grant D., Hester, Thomas R., Black, Stephen L., 1986, The Prehistoric Sites at Choke Canyon Reservoir, Southern Texas: Results of Phase II Archaeological Investigations, Choke Canyon Series: Volume 10, Center for Archaeological Research, The Univer",Hall 1986,560047,3150439,14,NAD 83,Riverine,TCP,3150439,560047,14,,
-97.76,31.32,,41CV918,BETA-86983,"Unit #2, Feature #1, Depth 210-220cm",HEARTH,CHARCOAL,,1A,No,460,70,Corrected,460,70,-27,measured,,,,,Fort Hood Database,,617698,3466045,14,NAD 83,Inland,CTx,3466045,617698,14,,
-101.93,31.02,,41CX198,B-21612,"Unit 1, Level 2, basin",Midden,,,1A,No,460,90,Corrected,460,90,,,,,, Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,220436,3435893,14,NAD 83,Inland,CTx,3435893,220436,14,,
-97.97,29.87,Zapotec,41HY163,UGAMS-4431,"Level 2, Elevation 109-108.9, Northing 1006, Easting 996",,tooth  ,Bison bison,1A,No,460,25,Corrected,460,25,,,,,AMS,"Field number 1046-320, indeterminate tooth sampled, enamel bioapatite","2011 Lohse Jon. Prehistoric life, labor, and residence southeast central Texas (41HY163)Archaeological Studies Report 18. Center for Archaeological Studies Texas State University-San Marcos",Lohse 2011,599753,3304750,14,NAD 83,Inland,CTx,3304750,599753,14,,
-99.9,30.34,Little Paint Site,41KM226,Beta-234356,99.45m,,Charcoal,,1A,No,460,40,Corrected,460,40,-25.3,measured,460,40,AMS,Sample: 41KM226-180-C15,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,413235,3357345,14,NAD 83,Inland,CTx,3357345,413235,14,,
-99.9,30.34,Little Paint Site,41KM226,Beta-234362,"Feature 9, 97.8m",Hearth ,Charcoal,,1A,No,460,40,Corrected,460,40,-25.7,measured,470,40,AMS,Sample: 41KM226-347-C26,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,413235,3357345,14,NAD 83,Inland,CTx,3357345,413235,14,,
-99.31,30.68,Honey Creek,41MS32,CAMS-7459,Level 4,,Seeds,"Acorn frag, charred",1A,No,460,60,Corrected,460,60,-25,estimated,460,60,AMS,,,,470601,3394209,14,NAD 83,Inland,CTx,3394209,470601,14,,
-94.94,29.22, ,41GV66,D-AMS 030225,Burial F 92-2, ,Bone Collagen,Homo sp,1B,Yes,463,26,Corrected,463,26,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-96.44,29.59,Cotton Field,41CD155,PSUAMS-2471, , ,Bone Collagen, ,,,465,15,Corrected,465,15,-9.9,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,747765,3276280,14,NAD 83,Riverine,TCP,3276280,747765,14,,
-96.11,29.68,Leonard K Site,41AU37,TX-2126,Zone 1, ,Charcoal, ,1A,No,470,80,Corrected,470,80,0, ,440,70,Radiometric,"Uncorrected date �70, no explanation as to corrected/uncorrected and diffference in +-","Hall, Grant D.; 1981; ALLENS CREEK: A Study in the Cultural Prehistory of the Lower Brazos River Valley, Texas; Texas Archeological Survey Research Report No. 61; University of Texas at Austin","Hall, 1981.pdf",780086,3287175,14,NAD 83,Riverine,TCP,3287175,780086,14,,
-96.11,29.68,Little Bethlehem Site,41AU38,TX-2065,Near features 4 and 5, ,Carbon sample, ,1A,No,470,80,Corrected,470,80,0, ,450,70,Radiometric,"Uncorrected date �70, no explanation as to corrected/uncorrected and diffference in +-","Hall, Grant D.; 1981; ALLENS CREEK: A Study in the Cultural Prehistory of the Lower Brazos River Valley, Texas; Texas Archeological Survey Research Report No. 61; University of Texas at Austin","Hall, 1981.pdf",779845,3287371,14,NAD 83,Riverine,TCP,3287371,779845,14,,
-99.9,30.34,Little Paint Site,41KM226,Beta-234363,98.04m,,Charcoal,,1A,No,470,40,Corrected,470,40,-25.5,measured,480,40,AMS,Sample: 41KM226-396-C27,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,413235,3357345,14,NAD 83,Inland,CTx,3357345,413235,14,,
-95.63,29.79,Park Row- South,41HR184,UCIAMS-156935,"XU 5, SU I, 80-90 cmbd, Chute fill", ,Charcoal, ,1A,No,475,20,Corrected,475,20,0, ,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Testing and Data Recovery Excavations at Site 41HR184 for Park Row Boulevard, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 630.","Costa, 2018, 41HR184 (Full Report).pdf",246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.63,29.79,Park Row- South,41HR184,PSU 6483,"41HR184, TX. U5 SubI L9 80-90 cmbd Lot 958", ,Charcoal, ,1A,No,475,20,Corrected,475,20,0, ,0,0, ,C13value recorded as -57.4,"Costa Database, 2018", ,246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.45,29.05,Shy Pond Complex (NW),41BO8,PSUAMS-2465, , ,Bone Collagen, ,1A,No,480,15,Corrected,480,15,-9.6,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,261115,3216168,15,NAD 83,Coastal,TCP,3216168,261115,15,,
-95.47,29.86, ,41HR541,Beta-24077,Subunits C2-C3, ,Bone collagen,Bison,1A,No,480,70,Raw,0,0,0, ,480,70,Radiometric,Corrected age not provided,"McReynolds et. al.; 1988; Archaeological Investigations at a Late Ceramic Period Bison Kill Site, (41HR541), Whiteoak Bayou, Harris County, Texas; Reports of Investigations No. 7; Archeological research Laboratory Texas A&M University","McReynolds, 1988.pdf",261729,3306045,15,NAD 83,Riverine,TCP,3306045,261729,15,,
-99.45,27.34,Becerra Creek,41WB556,Beta-149856,Feature 23, ,Charred material, ,1A,No,480,60,Corrected,480,60,-23.9,Measured,480,60,Radiometric,Sample 877-1,"Mahoney et al. 2002. Archeological Data Recovery Excavations along Becerra Creek (41WB556), Webb County, Texas",Mahoney 2002.pdf,455708,3024554,14,NAD 83,Inland,TCP,3024554,455708,14,,
-101.77,30.72,,41CX162,Tx-2781,"Area A, 50",Hearth,Charcoal,,1A,No,480,70,Corrected,480,70,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,234685,3401629,14,NAD 83,Inland,CTx,3401629,234685,14,,
